IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
149.104.32.222,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,916,2.98
149.104.33.75,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,750,2.97
154.197.92.233,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,525,2.96
149.104.35.233,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,327,2.96
149.104.32.220,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,796,2.93
149.104.35.2,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,490,2.92
149.104.33.183,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,889,2.92
149.104.33.106,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,885,2.91
103.99.178.45,1443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,685,2.90
154.197.92.87,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,565,2.90
149.104.35.126,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,401,2.89
149.104.32.77,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,717,2.89
149.104.35.123,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,487,2.89
149.104.33.187,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,725,2.89
149.104.33.88,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,775,2.87
149.104.33.77,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,800,2.84
149.104.33.67,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,800,2.84
149.104.33.159,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,905,2.83
149.104.33.94,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,831,2.83
149.104.33.99,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,848,2.83
149.104.33.168,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,844,2.82
149.104.33.189,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,875,2.80
149.104.33.81,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,888,2.80
149.104.32.220,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,902,2.79
149.104.33.146,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,704,2.77
149.104.33.83,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,847,2.77
149.104.33.116,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,735,2.76
149.104.33.135,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,836,2.75
45.12.88.150,1443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,709,2.74
154.197.92.114,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,678,2.74
149.104.33.178,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,942,2.73
149.104.33.118,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,904,2.73
149.104.33.121,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,879,2.68
149.104.35.119,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,436,2.68
149.104.33.137,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,865,2.67
149.104.32.14,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,777,2.64
202.91.35.39,8443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,975,2.62
193.9.46.16,5443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,964,2.60
212.103.62.170,22896,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,735,2.57
154.197.92.45,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,401,2.56
149.104.33.107,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,772,2.55
154.197.92.248,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,562,2.51
149.104.33.143,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,743,2.41
149.104.32.219,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,739,2.40
91.217.139.121,8443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,921,2.37
154.197.92.110,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,764,2.33
154.197.92.120,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,376,2.30
185.238.250.167,40444,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,936,2.27
149.104.32.78,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,775,2.27
149.104.33.69,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,919,2.26
149.104.33.98,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,745,2.24
149.104.33.90,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,1000,2.21
149.104.35.238,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,487,2.19
149.104.33.75,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,741,2.19
103.99.115.202,34237,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,711,2.16
149.104.34.82,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,402,2.10
149.104.33.92,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,818,2.09
